Станция,Номер линии,Дата,4/3/2024,4/2/2024,4/1/2024,3/31/2024,3/30/2024,3/29/2024,3/28/2024,3/27/2024,3/26/2024,3/25/2024,3/24/2024,3/23/2024,3/22/2024,3/21/2024,3/20/2024,3/19/2024,3/18/2024,3/17/2024,3/16/2024,3/15/2024,3/14/2024,3/13/2024,3/12/2024,3/11/2024,3/10/2024,3/9/2024,3/8/2024,3/7/2024,3/6/2024,3/5/2024,3/4/2024,3/3/2024,3/2/2024,3/1/2024,2/29/2024,2/28/2024,2/27/2024,2/26/2024,2/25/2024,2/24/2024,2/23/2024,2/22/2024,2/21/2024,2/20/2024,2/19/2024,2/18/2024,2/17/2024,2/16/2024,2/15/2024,2/14/2024,2/13/2024,2/12/2024,2/11/2024,2/10/2024,2/9/2024,2/8/2024,2/7/2024,2/6/2024,2/5/2024,2/4/2024,2/3/2024,2/2/2024,2/1/2024,1/31/2024,1/30/2024,1/29/2024,1/28/2024,1/27/2024,1/26/2024,1/25/2024,1/24/2024,1/23/2024,1/22/2024,1/21/2024,1/20/2024,1/19/2024,1/18/2024,1/17/2024,1/16/2024,1/15/2024,1/14/2024,1/13/2024,1/12/2024,1/11/2024,1/10/2024,1/9/2024,1/8/2024,1/7/2024,1/6/2024,1/5/2024,1/4/2024,1/3/2024,1/2/2024,1/1/2024
Киевская АПЛ,12,АРБАТСК-ПОКРОВСК,18221,3786,5323,13141,8562,13659,11392,2107,14375,11401,10562,17438,14656,17268,5707,3426,15458,14933,1626,19347,8562,1577,3221,3695,15474,6792,17394,6496,9312,11652,17493,3019,3468,9365,16709,4867,3033,10636,17134,2320,12294,10672,9651,16942,4632,19790,13784,11805,1056,17727,6593,11485,13848,11301,7684,18278,10995,2249,4839,19687,13340,7352,8245,16064,3640,18707,15484,12289,4119,11618,18345,13318,19100,4118,5670,11148,13834,10080,3298,1312,9140,7358,3578,18289,9178,5233,10924,13263,14824,18711,7672,6811,11865,6147
Смоленская АПЛ,12,АРБАТСК-ПОКРОВСК,12919,18117,15810,12419,7632,11846,8484,6666,7791,5070,1076,18036,19419,5646,14318,11133,2346,1252,18944,16370,1421,18131,7977,5362,9440,10272,11170,13157,9744,19099,10084,6801,11225,16055,12871,16842,1674,1865,16910,2559,2573,8703,4118,1244,18104,17261,19320,3882,13925,4623,19639,16518,17598,7510,5136,6533,19381,16785,13292,13518,7699,14079,3244,18292,14903,15318,1963,18950,3635,3857,17625,16336,1866,19486,16943,13165,14695,6871,14002,15995,3287,10693,2061,19056,15082,6390,15217,18197,15246,12747,16746,3324,10438,18771
Арбатская АПЛ,12,АРБАТСК-ПОКРОВСК,9476,14495,12987,9785,19208,3892,13118,12966,15530,5394,12467,3753,7792,4908,13770,9642,4813,14501,1941,8180,9781,3004,18090,7088,16550,10502,3736,18533,19805,8916,2510,4599,15804,10975,17472,3315,8081,11576,14003,5276,8219,15366,15401,19489,17277,18919,3900,16988,11605,2512,7634,15074,10333,11209,5331,15625,2228,13432,7017,9060,18027,1889,12226,12350,3146,10747,5164,1124,19749,17646,5064,17261,9188,8271,12706,19346,16990,11773,2361,17957,2934,12178,3680,10560,7116,13235,17237,9569,4947,13594,13425,4904,14481,15418
Пл. Революции,12,АРБАТСК-ПОКРОВСК,1108,9222,1501,11049,11265,8524,7336,18894,10409,9315,17690,10130,6611,16805,3626,3768,17608,3713,11313,7290,14410,6534,8533,15226,5782,6978,11017,2528,18254,11099,7052,1270,19041,8690,13540,13281,16842,17352,4122,15390,17749,7307,13299,9570,4461,10194,3971,6928,3357,10344,1840,1039,9592,10296,12888,19248,13007,14226,4272,8087,17076,17447,4338,18721,11301,1853,9505,15109,3985,12911,14884,7659,12948,7693,6529,5047,7611,13352,14887,19867,12773,10890,14818,7231,12082,15993,15761,1940,4117,15968,12822,15539,5538,14828
Курская АПЛ,12,АРБАТСК-ПОКРОВСК,12812,15907,13989,18530,3886,11201,14097,9227,19221,11007,16089,17817,4200,16459,1703,10778,5214,8728,2003,18345,15438,2582,6219,1596,7840,6148,8354,8542,1265,10730,13605,14257,12725,8616,9950,18944,18146,6981,1426,15501,7409,2234,17274,12818,15355,4805,3932,10738,7298,8239,4384,2949,8251,19730,7410,10161,4501,4119,17530,18207,12521,14968,10570,3690,4969,16313,7583,19057,6711,10400,2830,14702,5467,12837,4547,10617,18169,14422,2687,11908,10790,11466,8703,13230,19006,15235,14731,13542,10962,8784,13762,3282,15209,17726
Бауманская,12,АРБАТСК-ПОКРОВСК,3088,13203,2267,2316,19109,3230,11714,5692,12298,16528,16573,15314,11780,3926,9984,8460,2450,7382,2148,5671,5825,12114,10746,19118,6569,7945,18389,14695,19172,13933,4502,3512,10302,12751,3933,5892,6035,4665,10323,2709,19042,3317,8172,15046,4998,4747,17277,19486,2211,1314,6832,12413,15334,15488,7246,15575,15273,17330,8028,2159,1850,5604,3377,8418,17859,8013,9630,18387,2042,8214,16462,8044,6817,18483,18719,15717,2828,11111,14134,10918,10268,1761,13994,4066,19033,10283,8059,13101,13093,6114,12188,2361,3986,2841
Электрозав-я АПЛ,12,АРБАТСК-ПОКРОВСК,3138,15145,13087,12731,8700,3503,6229,16401,8875,15105,7991,8210,10704,18253,2532,6677,15290,10846,19594,18247,13922,18036,3031,16013,1238,10103,4882,11331,13489,5581,4844,2009,18879,9503,16841,1395,16449,10839,9143,2648,19391,15866,11119,19147,9216,12681,3024,5336,9860,10895,2047,11274,9236,1083,2036,18107,17762,15798,9909,3070,9322,18819,14151,6656,1310,6689,7258,18050,5283,2768,11708,9229,8195,18258,18407,12532,8958,1651,14377,3906,15950,19528,2061,10834,13115,3789,9415,4546,12760,2813,13208,6039,8534,15489
Семёновская,12,АРБАТСК-ПОКРОВСК,2544,9219,14114,7802,8628,19343,6492,3312,1085,5288,19627,2518,14381,15395,2097,12124,16151,6768,10229,12402,4176,16562,3219,13148,8586,13816,18624,9568,4864,9915,6496,5207,5291,14830,19784,1670,11832,18962,10088,7689,13722,8876,11961,5222,1826,16523,8600,13505,15222,7676,7190,17707,2847,14713,12261,15517,14044,11404,8932,8910,16903,13022,2708,8072,8679,17381,11236,12168,15494,2993,17056,9508,5456,8384,10072,1525,13240,14639,15805,6794,17290,7729,5836,6831,11392,11870,14404,5641,3973,8317,11611,10944,17234,18788
Партизанская,12,АРБАТСК-ПОКРОВСК,1086,11918,18615,5144,9600,19605,11266,8254,13323,11255,3815,13630,17115,7781,7439,8898,6812,17990,3410,18184,19812,3871,6692,2930,7279,9332,16205,12367,11768,3299,5004,13680,3428,16441,12816,4464,5335,18859,4754,14898,9580,16243,16874,18412,16357,7570,8011,2482,3334,1445,15018,7085,14762,15716,8240,14877,11279,11343,1537,7482,11315,15697,12434,13672,10230,12801,8557,3033,7136,10398,14071,10815,11062,8960,13095,14313,18739,4128,4614,7262,9869,1551,15462,5977,14377,3437,17414,12053,2796,15186,13737,5248,8526,14667
Измайловская,12,АРБАТСК-ПОКРОВСК,10242,19834,13018,14543,13341,4677,11247,13313,19776,13309,17930,18892,8827,12147,7199,13221,17574,1866,3303,17481,8483,15351,13532,11185,6974,6771,6814,3746,9484,7635,13854,15711,5144,5923,7438,9606,6805,15134,11323,4359,7678,7816,17801,17745,4662,9340,6017,18008,11237,2845,11746,4982,6225,18439,7410,9892,15931,6727,18770,12712,7865,12930,6647,17595,17728,16775,7509,14778,6145,10537,13320,4939,19893,12790,13659,12077,8168,12001,1168,8429,9742,16604,7926,18189,9146,13396,3773,18870,1306,13845,17253,6629,13124,18152
Первомайская,12,АРБАТСК-ПОКРОВСК,9183,3221,12798,18883,7694,11791,15369,7394,14693,19032,6571,3751,10349,4511,11700,8473,13536,15225,19798,10084,3939,8255,13942,15135,12913,9963,15221,18468,3187,15299,13610,10023,5675,7507,4836,19251,1602,12607,13176,11264,18819,3973,15284,1655,4014,1069,11571,19442,14565,5155,11866,18399,15786,1459,16445,17510,16872,6640,19274,13459,8048,6610,14337,19710,16909,5440,11357,15656,5500,5609,19647,18219,16599,11982,9258,12602,15549,18648,18101,10099,9666,9009,13584,10499,8370,9470,11556,16072,15405,5090,12514,8135,10445,14271
Щёлковская,12,АРБАТСК-ПОКРОВСК,18259,14251,15255,6987,16605,17849,8998,15571,3948,4721,16201,1928,1101,1283,1360,15181,6227,16494,4048,2669,18192,2555,2041,16451,3020,10478,7511,8357,1257,6703,5821,7046,1571,6429,2428,3161,17352,16308,13594,8352,9505,7373,1257,7723,15369,2560,19619,13593,19931,10529,6517,7326,12678,9442,7917,12789,1499,6332,4284,5785,4730,16556,4151,19134,17093,3056,2844,16751,7979,14600,7506,3824,15256,13697,10993,4604,12895,4708,3852,17446,11389,17731,2116,10266,16846,19266,6218,18240,17325,19103,8972,18764,9680,13130
Александр. сад,13,ФИЛЁВСКАЯ,9506,1163,11571,13989,15560,15575,9166,19420,15890,16574,14301,4344,8640,9424,5032,4949,12947,11997,6508,15809,3324,19837,10608,15332,19391,18987,13041,11159,10561,11129,3193,17395,9620,15634,2435,16775,7330,6324,6820,7442,13214,3872,11408,2544,3759,19234,16134,13644,18552,10030,4606,3751,16334,5681,19605,6416,13425,3669,7696,7882,3136,14770,11959,19369,12393,18578,5136,15592,6599,4541,15415,12366,11227,19495,17370,12909,14247,13819,19586,11277,17273,11688,4365,19840,13619,13287,18648,4384,6304,7343,2480,8020,17622,10405
Арбатская ФЛ,13,ФИЛЁВСКАЯ,4883,8285,10414,17292,15767,1113,18285,4401,17238,10362,17643,3176,16606,3136,12566,12491,7552,19516,18913,13974,2938,2868,7470,4549,18793,14963,19302,8910,11968,1334,2724,19928,5518,5182,5357,1853,16498,15297,13376,16822,1989,8102,9733,1559,8695,7450,8458,15635,19794,6230,12689,19340,1826,14521,12964,10157,18632,16022,13234,18052,11662,7952,8780,10873,2554,15870,2327,19699,13554,11995,2957,1383,7178,2061,6854,12488,16128,19772,9904,3331,10507,11700,15905,17578,11570,13402,18577,2293,8635,4770,16844,13506,16324,14434
Смоленская ФЛ,13,ФИЛЁВСКАЯ,4471,14977,15510,10859,18560,9874,16229,2243,6307,3693,10501,5773,16402,8418,6820,12156,1769,13349,6192,3487,18794,19052,12994,9099,1824,12359,19541,13192,4631,6176,9740,16800,2447,14744,12841,10950,7427,16850,17768,13908,2075,5044,13187,15403,15979,16966,6732,18958,13615,9092,11734,9386,14680,2606,5819,13062,11990,8898,4973,8163,11401,19171,16541,8200,12994,12224,17098,6819,9262,14491,8149,16186,3268,14875,3678,19934,19808,13281,10252,9199,3162,4513,5319,6889,1626,11921,17961,13048,16383,2691,17100,18231,9679,6604
Студенческая,13,ФИЛЁВСКАЯ,16636,6833,5654,8515,5805,19867,18867,1407,2938,12530,11681,16549,9241,11119,4704,2817,6986,11564,3545,12448,3421,9583,16081,7586,15299,6064,11610,16218,1364,8303,18188,17746,15625,7499,17576,7149,2470,2127,13061,13671,16555,3625,3891,6686,8359,8765,6815,6675,18602,13911,9627,3860,4117,18937,17111,4668,13939,2034,12692,6027,10287,15835,11706,2730,11971,4618,14527,7664,18620,10517,6293,6500,13771,12165,6501,13270,10828,17219,4295,7741,5620,2899,6587,9382,15324,17319,4526,1179,19606,19405,19579,10843,16883,18349
Кутузовская ФЛ,13,ФИЛЁВСКАЯ,11917,8262,3531,8103,2184,12849,1459,5399,7241,2005,15241,17364,7958,15518,5029,4873,8916,18860,14252,14529,4420,3985,17095,12894,11005,3816,4547,5466,1716,10497,14065,5084,10897,19604,16011,8129,9725,11728,1287,15733,16400,3288,11497,17947,13762,12562,7126,7139,3232,4487,8585,4022,17904,15476,7765,1704,7520,15119,12886,2762,12662,12165,18752,18486,2930,11989,18241,4279,8286,13730,7917,14770,10128,10372,13219,14032,10873,10358,5574,4897,3825,1532,9027,6632,7432,19542,18187,4550,15717,17808,9428,3066,15316,15794
Фили,13,ФИЛЁВСКАЯ,1764,2548,14780,16462,19599,10546,7994,5422,3337,4776,19684,1889,6968,4792,14357,18078,15961,5240,3417,7352,12903,14954,5513,9260,16402,6231,15416,6744,7083,15704,8961,13839,7683,17708,2575,1739,8188,10522,16863,10449,17440,1664,17103,19169,4631,16272,14955,7051,14138,9281,3414,16537,9737,19356,11973,17540,15948,9410,4742,5935,19496,19341,1950,3622,9152,14850,8967,6800,10281,4412,12500,1768,4154,7205,11286,7123,5465,12017,4977,14943,6842,9513,13700,1915,8855,15671,12620,17291,4993,17400,18651,14127,11921,13031
Багратионовская,13,ФИЛЁВСКАЯ,17487,3311,9015,13889,8459,15201,8817,8899,6475,19496,17425,10307,15261,7867,1825,4879,4003,10807,8439,16834,9132,11584,14287,13428,10548,11272,16704,6646,15233,13740,7575,16952,11170,4228,8089,19206,3164,7684,5226,14423,15772,11813,3244,8525,12659,8084,4504,16526,8107,12005,9113,17203,19820,12105,5889,9673,8812,3724,11501,3449,10139,15465,13948,5892,16784,2819,8600,11227,2084,18269,3947,7598,7424,8551,2596,16788,12978,3719,7749,5316,19800,6461,3033,17304,2983,13621,1322,13003,11787,12559,6559,17771,13063,7768
Филёвский парк,13,ФИЛЁВСКАЯ,9563,1301,13475,19004,14967,6025,17726,13128,18280,14593,12260,10355,2950,4702,3097,8088,6327,1348,9702,1807,14232,14173,16072,16292,10901,19228,15354,7602,9840,2651,18153,1341,3468,7937,3800,6661,19250,13524,3453,12078,4145,18751,3710,5929,14403,12870,12138,14897,15128,18426,6816,9035,12835,6379,11147,9839,17830,1231,18836,12472,10310,4177,15647,9153,8698,5319,12743,13902,7779,3050,11246,13839,11423,6481,19310,1366,18355,15050,1909,18378,4586,8289,17403,3833,11976,2508,19626,17667,14265,19114,16202,12363,8751,8227
Пионерская,13,ФИЛЁВСКАЯ,16705,10948,4118,10780,3801,9262,17769,9736,5759,11090,10418,15173,4131,16710,18852,8680,7411,2333,6894,16610,3921,19642,4233,13675,19758,16277,14458,10882,16784,8555,4859,14199,1521,15174,9596,5818,14279,5023,19382,8756,6354,14562,11867,3669,19827,13835,8285,11876,12855,19139,1912,7109,2718,4800,18274,1585,11748,6539,15948,9511,18746,17613,11827,9368,14675,7899,6342,18037,15484,2502,15222,7273,5045,19734,11981,6251,5166,15645,3605,9663,2582,6725,6475,3607,10366,11207,9644,1414,3814,1105,13714,18611,17840,10698
Кунцевская ФЛ,13,ФИЛЁВСКАЯ,3067,14357,6832,16866,3673,9259,9252,6161,17127,7732,2107,16646,19449,12733,5665,16596,8491,15863,11432,7062,18395,18363,19144,9880,12972,19169,9545,18484,13627,7188,6825,15296,5577,11185,9882,4831,16272,3090,11456,13725,11164,5619,7712,6921,16204,3729,17546,4465,18872,17089,8852,5022,15668,4220,12295,18454,14053,10876,13289,19120,2257,8783,14827,19335,4982,13372,1750,3188,4084,9269,1318,13897,11171,12109,15593,14203,14088,14185,15522,13976,12183,2134,7718,14090,10158,8818,18432,6037,8181,2732,5017,12958,2073,8683
Молодёжная,12,АРБАТСК-ПОКРОВСК,18991,17317,2522,14429,8731,6985,19491,13478,13661,4707,13393,4960,9853,6063,12125,8847,7184,2637,10427,6723,18347,4743,9790,4789,17511,6116,12370,8770,5803,2580,7432,19967,14459,7351,14922,19187,4717,1496,17843,4011,12960,12024,8923,7940,11761,13231,4384,1379,16708,19739,10100,12825,15288,8689,7219,13115,14664,11495,3976,6702,5748,17298,2539,9744,17217,12385,6649,7206,19652,11455,10480,13688,14840,3751,1468,4024,7436,7696,14985,8512,11449,18216,4849,1229,9368,8591,16853,12637,19450,16294,14998,9664,18594,15793
Крылатское,12,АРБАТСК-ПОКРОВСК,2515,18326,17979,5084,7012,15598,12342,19586,14423,13237,6419,2359,3647,14686,7054,9640,6004,13630,13685,17564,2318,3185,13433,5704,11131,11832,2062,7829,6831,11703,12351,15761,6219,14323,10852,7050,1069,9005,7627,16973,11192,11765,13390,12318,7777,6041,6140,14028,16747,12740,4373,9673,19392,5886,8046,17885,10759,2483,8376,14952,13605,19418,8109,6337,10061,7629,8065,18490,11411,4869,2165,3025,4993,5788,3370,4821,2757,5979,17428,17478,7254,4624,1085,15101,9126,6231,17207,11256,6336,5089,2521,1173,10792,10022
Белорусская КЛ,609,КОЛЬЦЕВАЯ,15105,18914,11435,5968,10223,19762,11351,11845,9467,17415,4304,7945,5164,12301,4071,5465,5626,19073,8800,17934,8757,2002,15893,2260,13305,4334,8860,10132,6495,19039,16853,10988,15601,1411,19562,18168,13752,8056,15313,16610,14215,16062,9886,2160,10173,11769,6006,17406,7362,8881,12567,11639,13391,4395,19976,2976,10154,13909,12335,10688,1364,1408,12977,7024,13561,6658,5296,2752,18112,14492,3775,7043,14433,6103,6192,13590,8973,6848,5643,18737,6654,7016,11124,6100,6159,12916,13756,4029,4771,5745,14738,16243,1964,17435
Новослободская,609,КОЛЬЦЕВАЯ,18027,10840,13039,1864,13668,18358,2702,15017,5233,15160,1985,1029,17796,1053,5048,2090,9105,9262,15977,7112,15113,6868,2345,12849,16704,13308,19403,3450,5846,19760,11240,15324,9879,4675,11796,6992,14609,14246,1007,10136,8244,11870,10149,17587,14136,5306,11181,4785,18284,6547,2466,6254,3400,14593,12104,6569,14814,9886,9687,1388,11328,19421,19493,15849,19642,13520,8285,3405,3637,15442,9798,11253,17703,17600,16091,12676,5192,16227,5151,14711,18650,19020,8024,15451,4586,3326,5477,17882,11760,6998,4100,8030,12399,2702
Проспект Мира КЛ,609,КОЛЬЦЕВАЯ,19508,5669,11523,5904,5289,8539,5504,11971,3366,14141,4979,13031,9681,5265,3139,10465,2050,19173,6118,14956,3018,6006,6691,7164,17394,14544,3873,6218,14781,17785,15457,15318,1843,8036,11624,15086,16215,16122,4619,15618,19374,13630,7370,11544,16302,3801,19725,12239,13027,7549,5129,12620,19756,8460,5666,4367,8356,5176,7218,19879,17957,14305,10186,5523,17574,1617,19693,5913,2476,2211,18532,14487,5339,13638,2916,8227,17279,16657,4720,11539,10641,5008,8990,9220,14014,10228,9307,4171,15109,2817,2532,3844,7490,12600
Комсомольская КЛ,609,КОЛЬЦЕВАЯ,16101,18611,10630,18150,14402,11651,2075,19845,13250,19346,6691,17622,5645,2890,11721,15633,17845,12384,4131,1272,11958,9208,14785,7071,7141,3149,11773,15710,4295,8474,13571,12933,2230,14847,14946,10328,19489,14047,19102,6740,15727,19182,1934,14844,10043,18705,18859,11125,7348,1755,16554,18604,6620,17251,19210,2709,2409,8150,17860,6880,5626,18699,12442,8184,13204,2069,8021,4690,1819,15421,1178,13388,8983,15543,13674,4518,8747,6010,3443,17206,13600,6659,9690,9983,13213,13427,16272,16800,14964,19851,4241,10827,8865,2581
Курская КЛ,609,КОЛЬЦЕВАЯ,10255,6508,8202,3768,18565,8085,9087,19630,6898,1244,5446,11169,14825,9392,6415,2558,3650,13663,14947,14485,9698,12311,10601,18639,15096,2785,2201,7601,5446,6255,13390,18033,7921,14649,7421,17865,2039,2284,15612,16725,1217,6350,3192,2513,12691,4214,12437,9700,6623,6057,9131,7988,12425,13775,12592,6412,13647,17933,14131,6420,10314,12529,8108,14612,9882,15502,11817,13069,11470,2116,4739,12281,9855,16879,10517,7436,16665,15118,4674,9245,6366,6008,12256,16537,18471,5445,19365,17251,5803,8877,5751,3537,14293,11823
Таганская КЛ,609,КОЛЬЦЕВАЯ,16347,5495,12441,5453,7584,4737,18001,12885,7802,6672,9344,2906,10015,17885,15072,10199,10273,5718,12210,10207,2301,12758,9069,13127,6026,14372,1286,11549,3577,4814,5885,14181,8818,17515,2186,10188,4246,7687,2719,2280,11760,14811,15763,17505,9149,13408,16957,12161,16098,13714,8866,15647,2134,15876,9975,14986,5231,19924,10217,10019,14162,9325,16139,13900,6564,4320,2030,14019,7144,5822,9262,13442,9873,5484,6457,7235,16391,7744,7379,17227,17348,16004,18109,5120,11066,5020,8654,10631,19786,5019,12397,14492,9327,6845
Павелецкая КЛ,609,КОЛЬЦЕВАЯ,6495,6004,5023,14993,14241,18656,8962,4356,6218,7012,7792,11134,12754,6598,16653,10744,10844,16527,19832,12324,6609,6378,10860,6191,9614,14309,8436,3478,14517,19689,18923,2794,16921,11818,15107,14314,6895,12715,5060,12763,19779,5266,4778,12300,19990,17152,11354,15693,16730,10571,9848,3909,1562,8890,1664,12073,19188,7223,12449,16338,19164,7574,13540,7565,13970,13704,12936,18477,9850,12926,17805,19104,3411,9201,19175,5881,11191,19064,18608,17346,12363,12348,18194,19006,6257,19897,14477,7783,2474,2268,2237,16916,13326,17387
Добрынинская,609,КОЛЬЦЕВАЯ,16979,19242,11251,7198,5246,6718,11003,10301,10094,5143,15199,18059,7597,11366,12340,4641,10201,8960,18441,11458,15312,15592,12112,19738,11970,1911,11728,15875,3974,14597,15032,5151,8475,4186,9891,13278,13699,18067,15577,10249,18775,12311,16775,7207,12202,16306,2370,7792,12880,11416,10372,16795,9629,19752,7229,4162,10612,12458,1586,8256,5130,5221,10600,13788,6538,11655,2354,10215,16374,15001,9504,6935,15135,2808,15042,6612,7505,17173,12782,6936,7960,17737,8069,2838,9711,19800,19640,7716,14561,8372,14315,19254,16993,19314
Октябрьская КЛ,609,КОЛЬЦЕВАЯ,5571,4584,7941,5841,8550,5025,3012,8248,12868,2489,2911,4748,19245,4163,2113,15263,6774,8976,11652,17176,7034,3406,4844,2174,2705,12685,7832,13332,5894,15355,11735,15861,11576,10527,19815,6628,7469,17667,19650,14324,12465,5697,8489,12764,17896,11101,2531,4539,12316,5066,6358,10040,2818,13109,10994,2077,13780,12046,9541,6104,17668,7189,15393,9146,9981,8390,18618,3795,3767,12709,13966,8099,14807,17524,14184,2542,14379,3862,3482,4363,8022,12392,1385,8085,7722,5941,9363,17998,3089,11366,12798,2870,3672,6244
Парк культуры КЛ,609,КОЛЬЦЕВАЯ,11079,17582,11089,5987,15524,2419,17652,13833,11281,6396,17353,19636,12691,18760,15320,13403,3163,12312,4949,6010,8377,8975,5196,8265,6856,8081,12355,14646,10279,8733,12742,4776,2583,17112,11213,12296,9736,4659,12404,19186,3461,7574,16365,12859,3156,5768,12181,14886,9188,1593,9184,4128,13075,16420,12746,18751,15741,16972,18467,12602,7906,13346,10514,14762,14873,13036,19470,5133,17936,2147,13523,6892,17238,10791,17230,8822,12313,11147,12268,6326,9818,8503,18884,13037,7842,18022,5512,15908,12981,4065,13875,9307,5371,9414
Киевская КЛ,609,КОЛЬЦЕВАЯ,16924,8578,1820,3956,14666,10931,17379,17612,11937,17774,14381,5836,1070,14821,9836,17309,10566,17994,16921,15875,14652,9268,14045,16249,8221,17893,5772,19224,13767,2675,5481,7573,6738,17057,17881,5019,6721,18328,9385,12472,14512,3995,14653,18131,16044,1382,8657,7580,6186,6024,7771,6294,7798,5707,15128,19850,3372,6225,17049,1164,19056,13479,18616,16179,16198,12204,17798,7405,13052,5561,18790,1205,9304,13662,4783,9808,13263,16593,16176,11694,8312,6114,13988,19463,15216,1844,8887,2345,11163,13759,8795,15839,7801,10209
Краснопресненск.,609,КОЛЬЦЕВАЯ,13099,1969,2716,2962,16524,8625,14166,17896,1791,10125,18985,14031,1532,12380,9847,3977,4030,7872,8657,14291,5127,19383,2682,11542,8293,13128,14773,6030,8431,19901,19338,5888,15103,14547,17867,5976,9740,5448,1142,13455,5066,10308,7371,15078,16439,6357,16127,14574,15404,11019,4030,11827,3195,17317,15664,7906,5966,7332,12926,6511,7471,16709,11922,15259,5897,11584,8663,19736,18047,13860,4260,16512,9763,15479,13675,16822,7052,6773,11758,2631,12342,4146,2468,4079,9293,4718,6734,19413,7009,15961,13063,17407,16999,12402
Новогиреево,14,КАЛИНИНСКАЯ,3752,10099,6765,15391,2950,13236,7998,12529,5401,4996,14935,9406,7772,16378,11229,8725,17620,13570,11823,12243,11917,16668,2337,8155,3925,4731,1112,12397,7110,3078,7022,18748,16554,10962,17826,5871,17110,5865,1498,8261,15426,7749,17206,11766,14124,19741,18549,19483,12362,10087,3415,5379,8515,3079,5449,9922,15835,10105,15802,2298,16690,12655,6449,13170,7359,18197,5388,19780,3098,9444,14107,18272,11055,10035,2215,11435,8201,1043,8292,12093,1099,14285,16369,11225,15573,5978,5435,15111,8959,7224,13241,4901,14339,5268
